Entity,Code,Year,Annual COâ‚‚ emissions (per capita)
Afghanistan,AFG,1949,0.0019921463
Afghanistan,AFG,1950,0.011265611
Afghanistan,AFG,1951,0.012097932
Afghanistan,AFG,1952,0.011946474
Afghanistan,AFG,1953,0.013684762
Afghanistan,AFG,1954,0.013511202
Afghanistan,AFG,1955,0.019303724
Afghanistan,AFG,1956,0.022651596
Afghanistan,AFG,1957,0.0357019
Afghanistan,AFG,1958,0.039568856
Afghanistan,AFG,1959,0.04541344
Afghanistan,AFG,1960,0.04800073
Afghanistan,AFG,1961,0.05583506
Afghanistan,AFG,1962,0.07677442
Afghanistan,AFG,1963,0.07717596
Afghanistan,AFG,1964,0.08963178
Afghanistan,AFG,1965,0.10526929
Afghanistan,AFG,1966,0.11153449
Afghanistan,AFG,1967,0.12805797
Afghanistan,AFG,1968,0.119381055
Afghanistan,AFG,1969,0.0896882
Afghanistan,AFG,1970,0.1553428
Afghanistan,AFG,1971,0.17189354
Afghanistan,AFG,1972,0.13558789
Afghanistan,AFG,1973,0.14128816
Afghanistan,AFG,1974,0.16117701
Afghanistan,AFG,1975,0.1744933
Afghanistan,AFG,1976,0.15942173
Afghanistan,AFG,1977,0.18791811
Afghanistan,AFG,1978,0.1664211
Afghanistan,AFG,1979,0.17193046
Afghanistan,AFG,1980,0.14065449
Afghanistan,AFG,1981,0.17735797
Afghanistan,AFG,1982,0.20762497
Afghanistan,AFG,1983,0.25322488
Afghanistan,AFG,1984,0.2754418
Afghanistan,AFG,1985,0.33308113
Afghanistan,AFG,1986,0.2999149
Afghanistan,AFG,1987,0.30164644
Afghanistan,AFG,1988,0.27513915
Afghanistan,AFG,1989,0.25904718
Afghanistan,AFG,1990,0.18928127
Afghanistan,AFG,1991,0.17815459
Afghanistan,AFG,1992,0.122916184
Afghanistan,AFG,1993,0.106181666
Afghanistan,AFG,1994,0.094065115
Afghanistan,AFG,1995,0.08632284
Afghanistan,AFG,1996,0.080092125
Afghanistan,AFG,1997,0.07331302
Afghanistan,AFG,1998,0.06913398
Afghanistan,AFG,1999,0.05667073
Afghanistan,AFG,2000,0.053580754
Afghanistan,AFG,2001,0.054300264
Afghanistan,AFG,2002,0.06385612
Afghanistan,AFG,2003,0.068871394
Afghanistan,AFG,2004,0.0525291
Afghanistan,AFG,2005,0.07740329
Afghanistan,AFG,2006,0.08486903
Afghanistan,AFG,2007,0.108090796
Afghanistan,AFG,2008,0.16098854
Afghanistan,AFG,2009,0.23340572
Afghanistan,AFG,2010,0.2967329
Afghanistan,AFG,2011,0.40474042
Afghanistan,AFG,2012,0.32938865
Afghanistan,AFG,2013,0.29328325
Afghanistan,AFG,2014,0.2802986
Afghanistan,AFG,2015,0.29007638
Afghanistan,AFG,2016,0.2617953
Afghanistan,AFG,2017,0.2768525
Afghanistan,AFG,2018,0.29487586
Afghanistan,AFG,2019,0.29340136
Afghanistan,AFG,2020,0.30503938
Afghanistan,AFG,2021,0.30631703
Afghanistan,AFG,2022,0.29536375
Asia,,1750,0.0
Asia,,1760,0.0
Asia,,1770,0.0
Asia,,1780,0.0
Asia,,1790,0.0
Asia,,1800,0.0
Asia,,1801,0.0
Asia,,1802,0.0
Asia,,1803,0.0
Asia,,1804,0.0
Asia,,1805,0.0
Asia,,1806,0.0
Asia,,1807,0.0
Asia,,1808,0.0
Asia,,1809,0.0
Asia,,1810,0.0
Asia,,1811,0.0
Asia,,1812,0.0
Asia,,1813,0.0
Asia,,1814,0.0
Asia,,1815,0.0
Asia,,1816,0.0
Asia,,1817,0.0
Asia,,1818,0.0
Asia,,1819,0.0
Asia,,1820,0.0
Asia,,1821,0.0
Asia,,1822,0.0
Asia,,1823,0.0
Asia,,1824,0.0
Asia,,1825,0.0
Asia,,1826,0.0
Asia,,1827,0.0
Asia,,1828,0.0
Asia,,1829,0.0
Asia,,1830,2.6882947e-06
Asia,,1831,3.2166306e-06
Asia,,1832,2.1368437e-06
Asia,,1833,2.6645928e-06
Asia,,1834,0.0
Asia,,1835,0.0
Asia,,1836,0.0
Asia,,1837,0.0
Asia,,1838,0.0
Asia,,1839,0.0
Asia,,1840,0.0
Asia,,1841,0.0
Asia,,1842,0.0
Asia,,1843,0.0
Asia,,1844,0.0
Asia,,1845,0.0
Asia,,1846,0.0
Asia,,1847,0.0
Asia,,1848,0.0
Asia,,1849,0.0
Asia,,1850,1.5974772e-05
Asia,,1851,0.0
Asia,,1852,0.0
Asia,,1853,0.0
Asia,,1854,0.0
Asia,,1855,4.8893915e-05
Asia,,1856,0.0
Asia,,1857,0.0
Asia,,1858,0.00055460323
Asia,,1859,0.00085805013
Asia,,1860,0.0009019046
Asia,,1861,0.0007518155
Asia,,1862,0.0008041736
Asia,,1863,0.00088372274
Asia,,1864,0.00085848954
Asia,,1865,0.0010252482
Asia,,1866,0.0014884602
Asia,,1867,0.0007856082
Asia,,1868,0.00065082824
Asia,,1869,0.00092203176
Asia,,1870,0.00083380425
Asia,,1871,0.0011063914
Asia,,1872,0.0011931447
Asia,,1873,0.001137388
Asia,,1874,0.0019918024
Asia,,1875,0.0032844257
Asia,,1876,0.00340323
Asia,,1877,0.0034918569
Asia,,1878,0.006574597
Asia,,1879,0.0068074726
Asia,,1880,0.007398662
Asia,,1881,0.007553609
Asia,,1882,0.008139693
Asia,,1883,0.0089494325
Asia,,1884,0.009581245
Asia,,1885,0.009928866
Asia,,1886,0.010535922
Asia,,1887,0.012109704
Asia,,1888,0.013386358
Asia,,1889,0.0156566
Asia,,1890,0.017043827
Asia,,1891,0.019333903
Asia,,1892,0.020435333
Asia,,1893,0.02271862
Asia,,1894,0.025195876
Asia,,1895,0.02899353
Asia,,1896,0.030746734
Asia,,1897,0.033279035
Asia,,1898,0.039635774
Asia,,1899,0.0417545
Asia,,1900,0.047257815
Asia,,1901,0.053753722
Asia,,1902,0.055557244
Asia,,1903,0.05795429
Asia,,1904,0.06469043
Asia,,1905,0.0653616
Asia,,1906,0.072385564
Asia,,1907,0.09937998
Asia,,1908,0.107573695
Asia,,1909,0.11003371
Asia,,1910,0.11079866
Asia,,1911,0.116942406
Asia,,1912,0.118079506
Asia,,1913,0.13443941
Asia,,1914,0.13881424
Asia,,1915,0.13180086
Asia,,1916,0.1435114
Asia,,1917,0.15395772
Asia,,1918,0.15737234
Asia,,1919,0.17177425
Asia,,1920,0.16290241
Asia,,1921,0.15835518
Asia,,1922,0.16588053
Asia,,1923,0.18099286
Asia,,1924,0.19238414
Asia,,1925,0.19293027
Asia,,1926,0.19451544
Asia,,1927,0.20892239
Asia,,1928,0.21755752
Asia,,1929,0.22444028
Asia,,1930,0.22210245
Asia,,1931,0.21211231
Asia,,1932,0.21003762
Asia,,1933,0.22807871
Asia,,1934,0.25582272
Asia,,1935,0.27567023
Asia,,1936,0.29440632
Asia,,1937,0.30820972
Asia,,1938,0.3121541
Asia,,1939,0.32797316
Asia,,1940,0.3661266
Asia,,1941,0.36855122
Asia,,1942,0.34247693
Asia,,1943,0.33515197
Asia,,1944,0.33383882
Asia,,1945,0.24736845
Asia,,1946,0.23670022
Asia,,1947,0.2836305
Asia,,1948,0.28454104
Asia,,1949,0.2809317
Asia,,1950,0.2905497
Asia,,1951,0.32374814
Asia,,1952,0.3517313
Asia,,1953,0.3684529
Asia,,1954,0.39505136
Asia,,1955,0.44023353
Asia,,1956,0.47805512
Asia,,1957,0.5260619
Asia,,1958,0.6937611
Asia,,1959,0.8213183
Asia,,1960,0.9053701
Asia,,1961,0.80740345
Asia,,1962,0.76224965
Asia,,1963,0.78736395
Asia,,1964,0.8123384
Asia,,1965,0.86728203
Asia,,1966,0.9221418
Asia,,1967,0.91480285
Asia,,1968,0.9864949
Asia,,1969,1.0931066
Asia,,1970,1.2568238
Asia,,1971,1.3437446
Asia,,1972,1.3894107
Asia,,1973,1.4592707
Asia,,1974,1.4533628
Asia,,1975,1.493025
Asia,,1976,1.5561897
Asia,,1977,1.6249511
Asia,,1978,1.6662923
Asia,,1979,1.7024306
Asia,,1980,1.6678641
Asia,,1981,1.625483
Asia,,1982,1.6475612
Asia,,1983,1.680072
Asia,,1984,1.74361
Asia,,1985,1.809716
Asia,,1986,1.8502374
Asia,,1987,1.8911842
Asia,,1988,2.003435
Asia,,1989,2.033325
Asia,,1990,2.0583844
Asia,,1991,2.2653565
Asia,,1992,2.1804879
Asia,,1993,2.2445257
Asia,,1994,2.3132675
Asia,,1995,2.3707252
Asia,,1996,2.4322503
Asia,,1997,2.4314637
Asia,,1998,2.3307304
Asia,,1999,2.4293537
Asia,,2000,2.497625
Asia,,2001,2.5074375
Asia,,2002,2.6111252
Asia,,2003,2.8381112
Asia,,2004,2.9711335
Asia,,2005,3.148226
Asia,,2006,3.3247905
Asia,,2007,3.4574094
Asia,,2008,3.5965998
Asia,,2009,3.6788867
Asia,,2010,3.9091635
Asia,,2011,4.150337
Asia,,2012,4.2622857
Asia,,2013,4.268991
Asia,,2014,4.2966805
Asia,,2015,4.2871428
Asia,,2016,4.2737656
Asia,,2017,4.348663
Asia,,2018,4.445855
Asia,,2019,4.506658
Asia,,2020,4.4004188
Asia,,2021,4.567902
Asia,,2022,4.611434
Azerbaijan,AZE,1860,0.006987782
Azerbaijan,AZE,1861,0.008785119
Azerbaijan,AZE,1862,0.007843921
Azerbaijan,AZE,1863,0.008128927
Azerbaijan,AZE,1864,0.009024015
Azerbaijan,AZE,1865,0.008536972
Azerbaijan,AZE,1866,0.026696838
Azerbaijan,AZE,1867,0.030322798
Azerbaijan,AZE,1868,0.024969315
Azerbaijan,AZE,1869,0.033524603
Azerbaijan,AZE,1870,0.036007486
Azerbaijan,AZE,1871,0.048113603
Azerbaijan,AZE,1872,0.04888787
Azerbaijan,AZE,1873,0.045413915
Azerbaijan,AZE,1874,0.054558866
Azerbaijan,AZE,1875,0.062152084
Azerbaijan,AZE,1876,0.0763729
Azerbaijan,AZE,1877,0.07714319
Azerbaijan,AZE,1878,0.09978511
Azerbaijan,AZE,1879,0.1013394
Azerbaijan,AZE,1880,0.11766235
Azerbaijan,AZE,1881,0.122661315
Azerbaijan,AZE,1882,0.1278766
Azerbaijan,AZE,1883,0.14405566
Azerbaijan,AZE,1884,0.14476247
Azerbaijan,AZE,1885,0.15606324
Azerbaijan,AZE,1886,0.15842292
Azerbaijan,AZE,1887,0.16592176
Azerbaijan,AZE,1888,0.17129804
Azerbaijan,AZE,1889,0.18310079
Azerbaijan,AZE,1890,0.20523493
Azerbaijan,AZE,1891,0.2236597
Azerbaijan,AZE,1892,0.2343253
Azerbaijan,AZE,1893,0.27184555
Azerbaijan,AZE,1894,0.27403998
Azerbaijan,AZE,1895,0.31165868
Azerbaijan,AZE,1896,0.31402287
Azerbaijan,AZE,1897,0.3593631
Azerbaijan,AZE,1898,0.39891753
Azerbaijan,AZE,1899,0.45804653
Azerbaijan,AZE,1900,0.51357406
Azerbaijan,AZE,1901,0.5218675
Azerbaijan,AZE,1902,0.49888968
Azerbaijan,AZE,1903,0.48302212
Azerbaijan,AZE,1904,0.53191173
Azerbaijan,AZE,1905,0.46994728
Azerbaijan,AZE,1906,0.5305545
Azerbaijan,AZE,1907,0.58819944
Azerbaijan,AZE,1908,0.58576375
Azerbaijan,AZE,1909,0.61203027
Azerbaijan,AZE,1910,0.5940885
Azerbaijan,AZE,1911,0.6096517
Azerbaijan,AZE,1912,0.68355095
Azerbaijan,AZE,1913,0.734975
Azerbaijan,AZE,1914,0.65656245
Azerbaijan,AZE,1915,0.5964867
Azerbaijan,AZE,1916,0.6292657
Azerbaijan,AZE,1917,0.57322234
Azerbaijan,AZE,1918,0.22652513
Azerbaijan,AZE,1919,0.19172691
Azerbaijan,AZE,1920,0.17324206
Azerbaijan,AZE,1921,0.1861698
Azerbaijan,AZE,1922,0.22498086
Azerbaijan,AZE,1923,0.2462649
Azerbaijan,AZE,1924,0.29073405
Azerbaijan,AZE,1925,0.2843408
Azerbaijan,AZE,1926,0.40823534
Azerbaijan,AZE,1927,0.50293094
Azerbaijan,AZE,1928,0.5485338
Azerbaijan,AZE,1929,0.5857149
Azerbaijan,AZE,1930,0.79206306
Azerbaijan,AZE,1931,0.94349617
Azerbaijan,AZE,1932,1.0520514
Azerbaijan,AZE,1933,1.166129
Azerbaijan,AZE,1934,1.3965441
Azerbaijan,AZE,1935,1.5643563
Azerbaijan,AZE,1936,1.7748551
Azerbaijan,AZE,1937,1.800112
Azerbaijan,AZE,1938,1.8828437
Azerbaijan,AZE,1939,1.8886409
Azerbaijan,AZE,1940,2.2429686
Azerbaijan,AZE,1941,1.9528099
Azerbaijan,AZE,1942,1.0596955
Azerbaijan,AZE,1943,1.0959024
Azerbaijan,AZE,1944,1.5748113
Azerbaijan,AZE,1945,1.6458224
Azerbaijan,AZE,1946,1.8284426
Azerbaijan,AZE,1947,2.1796222
Azerbaijan,AZE,1948,2.29478
Azerbaijan,AZE,1949,2.573041
Azerbaijan,AZE,1950,2.8143919
Azerbaijan,AZE,1951,2.984592
Azerbaijan,AZE,1952,3.1267312
Azerbaijan,AZE,1953,3.231854
Azerbaijan,AZE,1954,3.4414709
Azerbaijan,AZE,1955,3.8016014
Azerbaijan,AZE,1956,4.0589905
Azerbaijan,AZE,1957,4.3168073
Azerbaijan,AZE,1958,4.4728765
Azerbaijan,AZE,1959,4.5572333
Azerbaijan,AZE,1960,4.595075
Azerbaijan,AZE,1961,4.590125
Azerbaijan,AZE,1962,4.667492
Azerbaijan,AZE,1963,4.851825
Azerbaijan,AZE,1964,5.0068693
Azerbaijan,AZE,1965,5.16156
Azerbaijan,AZE,1966,5.3082156
Azerbaijan,AZE,1967,5.4202733
Azerbaijan,AZE,1968,5.452421
Azerbaijan,AZE,1969,5.5624237
Azerbaijan,AZE,1970,5.7333636
Azerbaijan,AZE,1971,5.973685
Azerbaijan,AZE,1972,6.1751018
Azerbaijan,AZE,1973,6.328268
Azerbaijan,AZE,1974,6.46237
Azerbaijan,AZE,1975,6.6831255
Azerbaijan,AZE,1976,6.8298817
Azerbaijan,AZE,1977,6.9541264
Azerbaijan,AZE,1978,7.087238
Azerbaijan,AZE,1979,7.04604
Azerbaijan,AZE,1980,7.223768
Azerbaijan,AZE,1981,6.992868
Azerbaijan,AZE,1982,7.0222287
Azerbaijan,AZE,1983,7.015206
Azerbaijan,AZE,1984,6.9658804
Azerbaijan,AZE,1985,7.38604
Azerbaijan,AZE,1986,7.5784554
Azerbaijan,AZE,1987,6.9546437
Azerbaijan,AZE,1988,7.025377
Azerbaijan,AZE,1989,6.891283
Azerbaijan,AZE,1990,6.886417
Azerbaijan,AZE,1991,6.5999527
Azerbaijan,AZE,1992,7.3494544
Azerbaijan,AZE,1993,6.253927
Azerbaijan,AZE,1994,5.362497
Azerbaijan,AZE,1995,4.222073
Azerbaijan,AZE,1996,3.930292
Azerbaijan,AZE,1997,3.7303305
Azerbaijan,AZE,1998,3.9528015
Azerbaijan,AZE,1999,3.557586
Azerbaijan,AZE,2000,3.6341968
Azerbaijan,AZE,2001,3.4309776
Azerbaijan,AZE,2002,3.4125533
Azerbaijan,AZE,2003,3.6027389
Azerbaijan,AZE,2004,3.769566
Azerbaijan,AZE,2005,3.9501617
Azerbaijan,AZE,2006,3.93934
Azerbaijan,AZE,2007,3.3831275
Azerbaijan,AZE,2008,3.670847
Azerbaijan,AZE,2009,3.1912014
Azerbaijan,AZE,2010,2.9824018
Azerbaijan,AZE,2011,3.2278821
Azerbaijan,AZE,2012,3.455071
Azerbaijan,AZE,2013,3.4900723
Azerbaijan,AZE,2014,3.5258524
Azerbaijan,AZE,2015,3.516298
Azerbaijan,AZE,2016,3.4809988
Azerbaijan,AZE,2017,3.4361124
Azerbaijan,AZE,2018,3.4056387
Azerbaijan,AZE,2019,3.6879485
Azerbaijan,AZE,2020,3.5147688
Azerbaijan,AZE,2021,3.7170222
Azerbaijan,AZE,2022,3.6746833
